"model","accuracy","recall_value","precision_value","f1","auc"
"Logistic Regression",0.72341,0.58459,0.4178,0.47805,0.74271
"SVM",0.70297,0.58403,0.22311,0.37362,0.6764
"qlr_metrics_0.35",0.702,0.73065,0.07274,0.30441,0.73918
"qlr_metrics_0.4",0.71299,0.70467,0.14886,0.34917,0.73994
"qlr_metrics_0.45",0.72065,0.64381,0.25366,0.40726,0.74108
"qlr_metrics_0.5",0.72181,0.59903,0.3755,0.46783,0.74124
"qlr_metrics_0.55",0.71169,0.54799,0.49269,0.515,0.74125
"qlr_metrics_0.6",0.6893,0.50664,0.60192,0.54372,0.7418
"qlr_metrics_0.65",0.65134,0.46747,0.70206,0.55093,0.74097
"qlr_metrics_0.7",0.60257,0.43484,0.79329,0.54925,0.73886
