"model","accuracy_mean","accuracy_sd","recall_mean","recall_sd","precision_mean","precision_sd","f1_mean","f1_sd","auc_mean","auc_sd"
"Logistic Regression",0.81431,0.03183,0.76921,0.06037,0.72971,0.06654,0.74666,0.04912,0.89208,0.02717
"SVM",0.78527,0.03335,0.77447,0.06915,0.61549,0.0859,0.68118,0.06139,0.86067,0.03156
"qlr_metrics_0.35",0.77109,0.0366,0.89248,0.06158,0.45143,0.0907,0.59342,0.08338,0.89015,0.0274
"qlr_metrics_0.4",0.79516,0.03381,0.85429,0.0621,0.55517,0.08423,0.66858,0.06744,0.89051,0.02732
"qlr_metrics_0.45",0.80925,0.03185,0.81371,0.0622,0.64566,0.07649,0.71671,0.05596,0.89066,0.02721
"qlr_metrics_0.5",0.81295,0.03153,0.77118,0.06125,0.72141,0.0689,0.74293,0.04995,0.89072,0.0272
"qlr_metrics_0.55",0.80791,0.03311,0.72948,0.0607,0.78566,0.06217,0.75439,0.04724,0.89065,0.02725
"qlr_metrics_0.6",0.79417,0.0344,0.68833,0.05844,0.83773,0.05522,0.7538,0.04457,0.89039,0.02736
"qlr_metrics_0.65",0.7726,0.0364,0.64762,0.0569,0.88198,0.04769,0.74504,0.04316,0.88994,0.02754
"qlr_metrics_0.7",0.7444,0.03863,0.60897,0.05507,0.91648,0.03979,0.73003,0.04265,0.8893,0.02768
