"model","accuracy","recall_value","precision_value","f1","auc"
"Logistic Regression",0.74243,0.63742,0.42175,0.5007,0.76879
"SVM",0.7276,0.64606,0.29955,0.39934,0.71941
"qlr_metrics_0.35",0.69348,0.88368,0.02722,0.09191,0.76836
"qlr_metrics_0.4",0.71042,0.81158,0.1041,0.18757,0.76853
"qlr_metrics_0.45",0.73076,0.72806,0.23368,0.34253,0.76866
"qlr_metrics_0.5",0.74145,0.65253,0.38572,0.47622,0.7687
"qlr_metrics_0.55",0.73515,0.58896,0.53092,0.55263,0.7687
"qlr_metrics_0.6",0.70957,0.53133,0.65763,0.58383,0.76868
"qlr_metrics_0.65",0.66471,0.47984,0.76317,0.58617,0.76859
"qlr_metrics_0.7",0.60101,0.43338,0.86032,0.57375,0.76826
