"model","accuracy_mean","accuracy_sd","recall_mean","recall_sd","precision_mean","precision_sd","f1_mean","f1_sd","auc_mean","auc_sd"
"Logistic Regression",0.69393,0.08797,0.57308,0.22878,0.37968,0.19652,0.43997,0.15495,0.70634,0.11218
"SVM",0.69291,0.08739,0.616,0.28491,0.25067,0.21781,0.3886,0.16949,0.69311,0.11564
"qlr_metrics_0.35",0.67865,0.08865,0.66595,0.38196,0.05696,0.11051,0.28286,0.14042,0.70415,0.11125
"qlr_metrics_0.4",0.68754,0.0893,0.67148,0.33589,0.12556,0.15567,0.31896,0.15224,0.70426,0.11249
"qlr_metrics_0.45",0.69331,0.08847,0.62071,0.29506,0.22091,0.18824,0.37008,0.15532,0.70497,0.11219
"qlr_metrics_0.5",0.6944,0.08809,0.58603,0.23473,0.34731,0.2107,0.43009,0.15779,0.70647,0.11126
"qlr_metrics_0.55",0.68382,0.09114,0.53593,0.18599,0.47951,0.21635,0.49245,0.14769,0.7071,0.11074
"qlr_metrics_0.6",0.65913,0.09471,0.49667,0.15455,0.6074,0.21077,0.53021,0.13321,0.70656,0.11118
"qlr_metrics_0.65",0.6161,0.10445,0.45657,0.13851,0.71615,0.19488,0.54236,0.12364,0.70548,0.11241
"qlr_metrics_0.7",0.56008,0.11373,0.42091,0.12426,0.80633,0.1763,0.53945,0.11549,0.70451,0.11232
