"model","accuracy","recall_value","precision_value","f1","auc"
"Logistic Regression",0.8581818,0.835443,0.9103448,0.8712871,0.9123342
"SVM",0.8363636,0.8125,0.8965517,0.852459,0.93313
"QLR_0.35",0.8254545,0.8540146,0.8068966,0.8297872,0.911061
"QLR_0.4",0.8581818,0.8630137,0.8689655,0.8659794,0.9118037
"QLR_0.45",0.8727273,0.8571429,0.9103448,0.8829431,0.9113793
"QLR_0.5",0.8581818,0.835443,0.9103448,0.8712871,0.9118037
"QLR_0.55",0.8436364,0.8035714,0.9310345,0.8626198,0.912122
"QLR_0.6",0.8254545,0.7679558,0.9586207,0.8527607,0.9127056
"QLR_0.65",0.8145455,0.7447917,0.9862069,0.8486647,0.9115385
"QLR_0.7",0.7781818,0.7058824,0.9931034,0.8252149,0.9113263
