"model","accuracy","recall_value","precision_value","f1","auc"
"Logistic Regression",0.7462667,0.8801619,0.2290832,0.3635452,0.7251694
"SVM",0.7781333,0.7812624,0.4147524,0.5418502,0.7890233
"QLR_0.35",0.7456667,0.9454023,0.2080084,0.3409915,0.6664419
"QLR_0.4",0.7456667,0.9454023,0.2080084,0.3409915,0.6566746
"QLR_0.45",0.7458,0.9472169,0.2080084,0.3411094,0.725076
"QLR_0.5",0.7464,0.9265639,0.2153846,0.3495212,0.7254906
"QLR_0.55",0.7384,0.7331062,0.2720759,0.3968644,0.7258955
"QLR_0.6",0.6995333,0.5271814,0.4864067,0.5059739,0.7261155
"QLR_0.65",0.5348,0.3949572,0.8847208,0.5461168,0.7263415
"QLR_0.7",0.4310667,0.3570297,0.9970495,0.5257835,0.7264641
