"model","accuracy","recall_value","precision_value","f1","auc"
"Logistic Regression",0.71087,0.6109,0.36047,0.44577,0.73278
"SVM",0.72535,0.68029,0.33343,0.43611,0.74094
"qlr_metrics_0.35",0.67184,0.82053,0.01078,0.06744,0.73115
"qlr_metrics_0.4",0.68178,0.76557,0.05894,0.1262,0.73174
"qlr_metrics_0.45",0.69899,0.68923,0.17286,0.26692,0.73224
"qlr_metrics_0.5",0.71045,0.62197,0.33215,0.42333,0.73266
"qlr_metrics_0.55",0.70431,0.56407,0.49604,0.52166,0.73293
"qlr_metrics_0.6",0.67709,0.51226,0.64525,0.56699,0.73312
"qlr_metrics_0.65",0.62676,0.46419,0.7761,0.57761,0.73299
"qlr_metrics_0.7",0.55073,0.41795,0.88239,0.56443,0.73265
