"model","accuracy","recall_value","precision_value","f1","auc"
"Logistic Regression",0.7446667,0.6228956,0.40570175,0.4913679,0.7661176
"SVM",0.7446667,0.6514523,0.34429825,0.4505022,0.7324771
"QLR_0.35",0.7006667,0.8888889,0.01754386,0.0344086,0.7654979
"QLR_0.4",0.718,0.7704918,0.10307018,0.1818182,0.7656765
"QLR_0.45",0.7453333,0.7605634,0.23684211,0.361204,0.7659369
"QLR_0.5",0.7473333,0.6389892,0.38815789,0.4829468,0.7661974
"QLR_0.55",0.7273333,0.5566265,0.50657895,0.5304248,0.7663612
"QLR_0.6",0.716,0.5252525,0.68421053,0.5942857,0.7666091
"QLR_0.65",0.6673333,0.4715232,0.78070175,0.5879438,0.7667604
"QLR_0.7",0.5893333,0.4157895,0.86622807,0.5618777,0.7667162
